right pid
1583.0 0.0 1583.0
1583.0 0.0 1583.0
1583.0 0.0 1583.0
1583.0 5.714 1577.286
1583.0 77.371 1505.629
1583.0 192.137 1390.863
1583.0 305.902 1277.098
1583.0 419.725 1163.275
1583.0 542.783 1040.217
1583.0 659.828 923.172
1583.0 768.345 814.655
1583.0 867.061 715.939
1583.0 955.557 627.443
1583.0 1033.973 549.027
1583.0 1104.799 478.201
1583.0 1165.937 417.063
1583.0 1220.427 362.573
1583.0 1268.484 314.516
1583.0 1310.501 272.499
1583.0 1346.971 236.029
1583.0 1378.434 204.566
1583.0 1407.432 175.568
1583.0 1433.694 149.306
1583.0 1457.154 125.846
1583.0 1477.882 105.118
1583.0 1496.033 86.967
1583.0 1513.808 69.192
1583.0 1530.632 52.368
1583.0 1544.174 38.826
1583.0 1557.073 25.927
1583.0 1569.047 13.953
1583.0 1579.947 3.053
1583.0 1589.726 -6.726
1583.0 1600.395 -17.395
1583.0 1609.208 -26.208
1583.0 1616.479 -33.479
1583.0 1622.474 -39.474
1583.0 1629.412 -46.412
1583.0 1634.675 -51.675
1583.0 1640.657 -57.657
1583.0 1644.859 -61.859
1583.0 1649.754 -66.754
1583.0 1654.896 -71.896
1583.0 1659.992 -76.992
1583.0 1664.853 -81.853
1583.0 1669.37 -86.37
1583.0 1673.487 -90.487
1583.0 1677.182 -94.182
1583.0 1680.459 -97.459
1583.0 1683.339 -100.339
1583.0 1685.847 -102.847
1583.0 1688.019 -105.019
1583.0 1689.889 -106.889
1583.0 1689.49 -106.49
1583.0 1691.655 -108.655
1583.0 1693.374 -110.374
1583.0 1694.739 -111.739
1583.0 1695.824 -112.824
1583.0 1696.685 -113.685
1583.0 1697.368 -114.368
1583.0 1697.911 -114.911
1583.0 1698.342 -115.342
1583.0 1700.684 -117.684
1583.0 1702.156 -119.156
1583.0 1705.011 -122.011
1583.0 1706.638 -123.638
1583.0 1709.414 -126.414
1583.0 1710.814 -127.814
1583.0 1713.277 -130.277
1583.0 1714.323 -131.323
1583.0 1714.419 -131.419
1583.0 1713.904 -130.904
1583.0 1713.018 -130.018
1583.0 1709.93 -126.93
1583.0 1707.557 -124.557
1583.0 1705.736 -122.736
1583.0 1704.341 -121.341
1583.0 1703.274 -120.274
1583.0 1700.461 -117.461
1583.0 1698.642 -115.642
1583.0 1697.532 -114.532
1583.0 1696.92 -113.92
1583.0 1696.652 -113.652
1583.0 1696.615 -113.615
1583.0 1696.726 -113.726
1583.0 1696.928 -113.928
1583.0 1697.18 -114.18
1583.0 1697.454 -114.454
1583.0 1697.732 -114.732
1583.0 1696.0 -113.0
1583.0 1695.052 -112.052
1583.0 1692.643 -109.643
1583.0 1691.395 -108.395
1583.0 1688.941 -105.941
1583.0 1685.813 -102.813
1583.0 1684.378 -101.378
1583.0 1682.085 -99.085
1583.0 1681.334 -98.334
1583.0 1679.6 -96.6
1583.0 1679.306 -96.306
1583.0 1679.946 -96.946
1583.0 1681.157 -98.157
1583.0 1682.687 -99.687
1583.0 1686.358 -103.358
1583.0 1689.253 -106.253
1583.0 1693.536 -110.536
1583.0 1696.535 -113.535
1583.0 1700.594 -117.594
1583.0 1703.167 -120.167
1583.0 1706.688 -123.688
1583.0 1708.673 -125.673
1583.0 1709.597 -126.597
1583.0 1709.804 -126.804
1583.0 1709.545 -126.545
1583.0 1710.997 -127.997
1583.0 1711.487 -128.487
1583.0 1711.34 -128.34
1583.0 1710.793 -127.793
1583.0 1712.011 -129.011
1583.0 1712.31 -129.31
1583.0 1712.009 -129.009
1583.0 1711.336 -128.336
1583.0 1712.452 -129.452
1583.0 1712.668 -129.668
1583.0 1714.3 -131.3
1583.0 1714.772 -131.772
1583.0 1714.483 -131.483
1583.0 1715.719 -132.719
1583.0 1715.881 -132.881
1583.0 1715.35 -132.35
1583.0 1714.396 -131.396
1583.0 1711.21 -128.21
1583.0 1708.722 -125.722
1583.0 1706.781 -123.781
1583.0 1705.267 -122.267
1583.0 1702.088 -119.088
1583.0 1699.969 -116.969
1583.0 1698.615 -115.615
1583.0 1697.803 -114.803
1583.0 1697.372 -114.372
1583.0 1697.201 -114.201
1583.0 1697.203 -114.203
1583.0 1695.317 -112.317
1583.0 1694.297 -111.297
1583.0 1693.872 -110.872
1583.0 1693.845 -110.845
1583.0 1694.075 -111.075
1583.0 1692.458 -109.458
1583.0 1691.726 -108.726
1583.0 1689.588 -106.588
1583.0 1688.635 -105.635
